0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:44 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:44 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:44 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:44 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/login.jsp HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/join.jsp HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:45 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:46 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:46 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:46 +0900] "GET /TestWeb/user/js/bootstrap.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:46 +0900] "GET /TestWeb/user/images/headerback.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:48 +0900] "GET /TestWeb/user/mypage.jsp HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [16/May/2021:23:43:48 +0900] "GET /TestWeb/user/css/custom.css HTTP/1.1" 404 846
